time,index
5733,19665.0801
5734,19550.8906
5735,19790.2793
5736,19922.2207
5737,20290.6895
5738,20268.6895
5739,20534.0098
5740,20422.1504
5741,19894.0195
5742,20377.2695
5743,20623.0000
5744,20467.7402
5745,20399.5703
5746,20608.6992
5747,21056.9297
5748,20906.1094
5749,20876.7891
5750,20575.7793
5751,20787.9707
5752,21196.8691
5753,21207.5508
5754,21208.2891
5755,21228.1992
5756,21209.7402
5757,21079.0996
5758,21022.9297
5759,21384.4902
5760,21330.6699
5761,21370.8203
5762,20933.2500
5763,20987.7793
5764,21008.6191
5765,20778.5508
5766,21053.1094
5767,21237.4297
5768,21374.7891
5769,21239.3496
5770,21537.0000
5771,21537.0000
5772,21537.0000
5773,21928.7695
5774,21867.0391
5775,22208.5000
5776,22138.1699
5777,22103.5293
5778,22121.4297
5779,22157.8203
5780,21865.2598
5781,21405.1699
5782,21623.3809
5783,21510.9297
5784,21454.9395
5785,21244.4902
5786,21587.0606
5787,21261.7891
5788,20949.4004
5789,20778.9199
5790,21108.5898
5791,20811.3594
5792,20763.0508
5793,20327.5391
5794,20133.4102
5795,19920.2891
5796,20426.6406
5797,20146.5098
5798,20212.4902
5799,20422.4609
5800,20145.4297
5801,19715.1992
5802,19944.9395
5803,19578.9805
5804,19545.8301
5805,19667.7598
5806,18985.5000
5807,19196.4492
5808,19431.3691
5809,19766.7109
5810,19765.1895
5811,19496.9492
5812,19471.8008
5813,19786.7109
5814,19780.0703
5815,19378.1504
5816,19487.4805
5817,19621.2402
5818,19632.6992
5819,19872.3809
5820,20051.9102
5821,20062.1504
5822,20138.4004
5823,20286.7109
5824,20912.1797
5825,20819.0801
5826,20856.6094
5827,20733.4902
5828,20690.7891
5829,20726.6797
5830,20248.9004
5831,20128.9902
5832,20128.9902
5833,19905.3203
5834,19842.1992
5835,20084.1191
5836,19857.0703
5837,20050.5606
5838,20378.6602
5839,20467.4297
5840,20431.0606
5841,20560.8106
5842,20255.6191
5843,20250.1602
5844,20090.9492
5845,20264.5898
5846,20487.2305
5847,20589.6992
5848,20815.3301
5849,20839.9102
5850,20973.3906
5851,21091.1797
5852,21093.8203
5853,21029.8106
5854,21412.7891
5855,21457.6602
5856,21549.8809
5857,21551.7207
5858,21678.8008
5859,21801.5898
5860,21473.5996
5861,21294.5391
5862,21105.7109
5863,21071.5703
5864,21112.1191
5865,21137.4297
5866,21022.7305
5867,21072.4609
5868,20981.8203
5869,20889.0098
5870,20658.7109
5871,20634.9805
5872,20612.0606
5873,20597.3496
5874,20737.2207
5875,20536.4902
5876,20623.8301
5877,20868.9199
5878,20971.5000
5879,21355.7695
5880,21401.7891
5881,21088.8594
5882,21167.2695
5883,21257.3906
5884,21658.3496
5885,21696.0391
5886,21725.6406
5887,21691.4492
5888,21970.8594
5889,21977.3398
5890,22002.5898
5891,22047.7109
5892,22119.4297
5893,22340.8398
5894,22109.9492
5895,22378.6699
5896,22358.1699
5897,22618.6602
5898,22639.1406
5899,22880.4102
5900,22884.3203
5901,22944.1797
5902,23207.3106
5903,23121.6992
5904,23457.6895
5905,23852.1699
5906,23757.6309
5907,23469.3809
5908,23763.7305
5909,23556.5000
5910,23649.4805
5911,23517.5391
5912,23627.9102
5913,23601.2402
5914,23164.5801
5915,23210.8594
5916,23096.3203
5917,23652.9395
5918,23671.4199
5919,24144.6699
5920,24535.6309
5921,24876.8203
5922,24964.3691
5923,24710.5996
5924,24500.6094
5925,24700.3008
5926,24222.5801
5927,24027.1797
5928,23693.0195
5929,23214.4609
5930,23637.3906
5931,23605.7109
5932,23524.0195
5933,22896.1406
5934,23023.8594
5935,23054.6797
5936,22877.2500
5937,23166.2207
5938,23007.9902
5939,23249.8008
5940,23448.7793
5941,23320.5195
5942,23237.6895
5943,23428.1504
5944,23092.5195
5945,23171.8008
5946,23162.9102
5947,23317.6094
5948,23431.1895
5949,22975.3496
5950,22668.7793
5951,22714.8496
5952,22639.0801
5953,22993.8594
5954,23045.1895
5955,22902.9707
5956,22833.8008
5957,22833.8008
5958,22621.7305
5959,22969.3008
5960,22999.3398
5961,23035.4492
5962,23436.0508
5963,23668.4805
5964,23757.8203
5965,23786.3008
5966,23686.6309
5967,23527.2598
5968,23760.3398
5969,24125.6094
5970,24238.9805
5971,24283.2305
5972,24156.9707
5973,24153.9805
5974,24419.6191
5975,24003.6992
5976,23876.8594
5977,23801.7793
5978,23788.8301
5979,23843.2402
5980,23779.6191
5981,23617.0195
5982,23447.3398
5983,23482.9492
5984,23908.9609
5985,23553.5898
5986,23484.3008
5987,23164.0293
5988,22708.6191
5989,22828.9199
5990,23121.0606
5991,22899.7793
5992,23156.9707
5993,23301.8398
5994,23595.2402
5995,23485.4199
5996,22990.8106
5997,22906.9004
5998,22601.0391
5999,23012.3691
6000,23338.0195
6001,23396.4199
6002,23048.6602
6003,23122.4199
6004,23408.8594
6005,23313.1895
6006,23711.6992
6007,23810.1094
6008,23614.8906
6009,23249.7793
6010,23345.8809
6011,22678.2500
6012,22700.8809
6013,22284.4297
6014,22300.2305
6015,22685.2207
6016,22857.9004
6017,22825.4004
6018,22915.2793
6019,23158.6699
6020,23068.1895
6021,23060.3594
6022,23451.4297
6023,23527.5195
6024,23801.9004
6025,24150.5801
6026,24150.5801
6027,24285.0508
6028,24281.8008
6029,24396.0703
6030,24303.0703
6031,23976.3691
6032,24135.0293
6033,24014.0000
6034,24008.0703
6035,23830.3106
6036,23520.6191
6037,23896.0996
6038,24138.3106
6039,24138.3106
